gov_name_f;GID_1;musees,sites et monuments;Visites;
Tunis;TUN.23_1;Dar ben abdalah;;
Tunis;TUN.23_1;Musée de Carthage;34683;
Tunis;TUN.23_1;Musée Romain;663;
Tunis;TUN.23_1;Torbet el Bey;;
Tunis;TUN.23_1;Musée de Bardo;39501;
Tunis;TUN.23_1;Stade Romain;1674;
Tunis;TUN.23_1;Thermes d'Antonin;31407;
Tunis;TUN.23_1;Tophet Salombo;6786;
Tunis;TUN.23_1;Villas Romains;1729;
Tunis;TUN.23_1;Musée Chrétien ;;
Ariana;TUN.1_1;;;
Ben Arous;TUN.3_1;Oudhna;6081;
Manubah;TUN.14_1;;;
Nabeul;TUN.16_1;Musée de Kairkouane;5160;
Nabeul;TUN.16_1;Musée de Nabeul;1108;
Nabeul;TUN.16_1;Borj Kelibia;10700;
Nabeul;TUN.16_1;site Niapolis;252;
Nabeul;TUN.16_1;Haouaria;2281;
Nabeul;TUN.16_1;Pupput Hammet;296;
Nabeul;TUN.16_1;Borj Hammamet;5667;
Zaghouan;TUN.24_1;Tuburbo Majus;1654;
Bizerte;TUN.4_1;Utique;2019;
Béja;TUN.2_1;site Dougga;11329;
Jendouba;TUN.7_1;Bulla Régia;2646;
Jendouba;TUN.7_1;Chemtou;258;
Le Kef;TUN.11_1;ATP Kef;533;
Siliana;TUN.19_1;Makthar;485;
Sousse;TUN.20_1;Musée de Sousse;11376;
Sousse;TUN.20_1;Musée enfidha;;
Sousse;TUN.20_1;Ribat sousse;7621;
Sousse;TUN.20_1;Mosquée Sousse;1660;
Sousse;TUN.20_1;les catacombes ;;
Monastir;TUN.15_1;ATP Monastir;270;
Monastir;TUN.15_1;Musée de Moknine;;
Monastir;TUN.15_1;Ribat Monastir;7244;
Monastir;TUN.15_1;Musée skanes;5242;
Monastir;TUN.15_1;Lamta;163;
Mahdia;TUN.13_1;Musée el jem;2852;
Mahdia;TUN.13_1;Palais el Jem;60054;
Mahdia;TUN.13_1;Musée el Mehdia;1188;
Mahdia;TUN.13_1;Borj el mahdia;2905;
Mahdia;TUN.13_1;Musée Salacta;103;
Sfax;TUN.17_1;ATP;908;
Sfax;TUN.17_1; kasba Sfax;760;
Sfax;TUN.17_1;Musée  de sfax;2;
Kairouan;TUN.8_1;sidi amor abeda;;
Kairouan;TUN.8_1;Raqqada;97;
Kairouan;TUN.8_1;Abou zoumaa el Balaoui;589;
Kairouan;TUN.8_1;les Bassins Aghlabites;15311;
Kairouan;TUN.8_1;Barouta;;
Kairouan;TUN.8_1;Sidi Abid;;
Kairouan;TUN.8_1;Mosquée Okba ;3309;
Kassérine;TUN.9_1;Sbeitla;4184;
Sidi Bou Zid;TUN.18_1;;;
Gabès;TUN.5_1;ATP Gabes;;
Médenine;TUN.12_1;ATP DJERBA;1285;
Médenine;TUN.12_1;Musée de Zarzis;76;
Médenine;TUN.12_1;Gightis;338;
Médenine;TUN.12_1;Borj ghazi mustaf;6176;
Médenine;TUN.12_1;;;
Tataouine;TUN.21_1;;;
Gafsa;TUN.6_1;Musée de Gafsa;59;
Gafsa;TUN.6_1;les Escorgotières;4;
Tozeur;TUN.22_1;;;
Kebili;TUN.10_1;ATP Douz;440;
